"GEO_ID","NAME","B25064_001E","B25064_001M",
"Geography","Geographic Area Name","Estimate!!Median gross rent","Margin of Error!!Median gross rent",
"1500000US060371011101","Block Group 1; Census Tract 1011.10; Los Angeles County; California","1669","207",
"1500000US060371011102","Block Group 2; Census Tract 1011.10; Los Angeles County; California","1419","151",
"1500000US060371011103","Block Group 3; Census Tract 1011.10; Los Angeles County; California","2500","2111",
"1500000US060371011221","Block Group 1; Census Tract 1011.22; Los Angeles County; California","3,500+","***",
"1500000US060371011222","Block Group 2; Census Tract 1011.22; Los Angeles County; California","3143","1186",
"1500000US060371012201","Block Group 1; Census Tract 1012.20; Los Angeles County; California","1604","215",
"1500000US060371012202","Block Group 2; Census Tract 1012.20; Los Angeles County; California","1437","149",
"1500000US060371012211","Block Group 1; Census Tract 1012.21; Los Angeles County; California","1649","306",
"1500000US060371012212","Block Group 2; Census Tract 1012.21; Los Angeles County; California","1693","104",
"1500000US060371012221","Block Group 1; Census Tract 1012.22; Los Angeles County; California","1782","353",
"1500000US060371013001","Block Group 1; Census Tract 1013; Los Angeles County; California","2100","879",
"1500000US060371013002","Block Group 2; Census Tract 1013; Los Angeles County; California","2444","1595",
"1500000US060371013003","Block Group 3; Census Tract 1013; Los Angeles County; California","-","**",
"1500000US060371013004","Block Group 4; Census Tract 1013; Los Angeles County; California","2351","170",
"1500000US060371014001","Block Group 1; Census Tract 1014; Los Angeles County; California","1913","407",
"1500000US060371014002","Block Group 2; Census Tract 1014; Los Angeles County; California","1221","183",
"1500000US060371014003","Block Group 3; Census Tract 1014; Los Angeles County; California","1574","623",
"1500000US060371021031","Block Group 1; Census Tract 1021.03; Los Angeles County; California","2179","843",
"1500000US060371021041","Block Group 1; Census Tract 1021.04; Los Angeles County; California","3263","167",
"1500000US060371021042","Block Group 2; Census Tract 1021.04; Los Angeles County; California","2893","1126",
"1500000US060371021051","Block Group 1; Census Tract 1021.05; Los Angeles County; California","2144","410",
"1500000US060371021052","Block Group 2; Census Tract 1021.05; Los Angeles County; California","1713","189",
"1500000US060371021071","Block Group 1; Census Tract 1021.07; Los Angeles County; California","2118","965",
"1500000US060371021072","Block Group 2; Census Tract 1021.07; Los Angeles County; California","2792","2514",
"1500000US060371031011","Block Group 1; Census Tract 1031.01; Los Angeles County; California","3000","1645",
"1500000US060371031012","Block Group 2; Census Tract 1031.01; Los Angeles County; California","-","**",
